,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
113,뚜레쥬르 부산진역점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210106_72%2F1609892145530WzQVO_PNG%2F8_hfbMTE1Wa5P5y89_erZL6Y.png,1318,12,9.1
114,토담돼지국밥 부산진역본점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180112_28%2F1515746986745o4wfy_JPEG%2FdRD2u10WMma3Lp-jQUJVCajb.jpg,391,22,8.72
115,찰리s까만닭발,4.54,,102,36,8.64
116,마라소호,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210129_19%2F1611846989125gHUD1_JPEG%2FmAQYTAH3xXl6fSC9odZHo6_e.jpeg.jpg,56,4,8.86
117,베러먼데이 부산진역점,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210728_194%2F1627438113067jqyof_JPEG%2FziIA62vBhH89Mmr8v7OXtPK5.jpg,135,8,8.77
118,더벤티 수정점,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_94%2F1592362308610bnDTF_JPEG%2FguxhSS81pQo8vNapEfQwT65_.jpg,241,8,8.94
119,보배반점 부산역점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220308_100%2F1646721614884xpBwF_JPEG%2FKakaoTalk_20220304_134334243.jpg,125,26,
120,이디야커피 부산초량점,4.59,,274,,
121,댄싱컵 부산진역점,,,38,7,
122,만다린,4.29,,213,10,8.53
123,마리샌드,4.84,,17,3,8.94
124,아름다운밤,,,9,10,
125,마산아구찜,4.52,,74,11,8.62
126,파리바게뜨 부산진점,4.3,,704,3,8.82
127,명가감자탕,4.48,,68,7,8.58
128,153구포국수 부산진역점,4.33,,457,20,8.71
129,해풍횟집,4.44,,20,6,8.54
130,써브웨이 부산역점,4.28,,170,14,8.38
131,빨봉분식 수정점,4.6,,230,16,8.84
132,반월당닭강정 부산역점,4.71,,40,32,8.81
133,써브웨이 부산진역점,,,118,2,
134,최셰프의땡초우동IN포차,4.41,,52,5,8.51
135,역전할머니맥주 부산진역점,4.24,,115,8,8.34
136,만타스시31 부산진역점,,,63,13,
137,할매김밥,,,6,6,
138,롯데리아 부산역사점,4.39,,96,13,8.49
139,투샷커피,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211018_163%2F1634539536642mTcWk_JPEG%2FEL_ymtJZOeIIe-Xg3aQxu0G0.jpeg.jpg,67,1,8.62
140,석정참숯갈비,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181116_96%2F1542353803333igRyh_JPEG%2Fkkec3jUMN51gQoUZAhEu83DM.jpg,122,64,8.53
141,39도시락 부산진역점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210304_71%2F1614842562374cR8dM_JPEG%2FToAnlqYgHkaE7zlI3JlXUvzf.jpg,7,2,
142,김밥천국 부산진역점,4.34,,642,,
143,카레온 동구청점,4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211010_28%2F1633852471474h26De_JPEG%2FJp9cN5E3gCXP2G03mlYfSxJS.jpeg.jpg,25,8,8.1
144,팔봉이밀면,4.42,,171,22,8.52
145,명가할매호떡 본점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190628_28%2F156169303561324o6Y_JPEG%2FoPLXH9F35pP9EtrD5XhYQd-E.jpg,127,13,8.38
146,태영생막창 부산진역점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190629_249%2F15617802190798hS1A_JPEG%2FWhUE5NBiSPS1bMywydOPKDb_.jpg,34,13,8.5
147,성원집선지국,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190314_124%2F1552551756108K3Skc_JPEG%2Fax_aZeoPilHRw-D87oxTzhuK.jpg,50,6,8.44
148,날마다좋은집,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_98%2F1548741155867jbHKR_JPEG%2FBu6IJ5VKAfs0c21Pgd80XpGP.jpeg.jpg,59,2,8.6
149,부일삼계탕,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_128%2F1548741180150hhCbB_JPEG%2FVryA5J4qUtFHsTnZn_S3_812.jpeg.jpg,71,10,8.38
150,꽃곰탕,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190508_141%2F1557291002281KHmGK_JPEG%2F5hOh4tCKzc0dJUJb0OD2aC62.jpg,,,
151,파스쿠찌 부산역점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170321_119%2F14900583211256Do1l_JPEG%2F_.jpg,991,13,8.92
152,역전마징가제트생맥,4.22,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200621_274%2F1592736414052FJ5ot_JPEG%2FuMmfrHu0n6nhakW2xtg_GXIc.jpg,77,2,8.32
153,함지박아구찜,3.86,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200403_259%2F1585916387524XPKvI_JPEG%2FINFd9LzOhZnJ4-cdwGcMtpdo.jpg,16,,
154,서울곰탕,4.35,,49,5,8.45
155,가배타로,,,228,4,
156,제일예천수육,4.36,,15,2,8.46
157,도떼기횟집,4.48,,80,4,8.58
158,7번가피자 부산진역초량점,4.51,,54,2,8.61
159,물금횟집,4.51,,63,5,8.61
160,강변민물매운탕어탕국수,4.49,,58,49,8.59
161,삼겹이네 수정점,4.25,,340,30,8.56
162,복성루,4.36,,147,,
163,하삼동커피 부산진역점,4.42,,397,3,8.73
164,소양강횟집,4.77,,27,12,8.87
165,리팬 닭반마리 칼국수,4.7,,231,13,8.94
166,꾸이점빵 부산진역점,4.25,,262,9,8.49
167,놀라운 가격 떡킨,4.8,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_153%2F16052492147674Vnml_PNG%2F%25B6%25B1%25C5%25B2.png,11,2,8.9
168,피자1번가 고관점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200306_133%2F1583485981052lev4F_JPEG%2FejN__0WfZ_qiY5FEDLzda0NJ.jpg,93,2,8.48
169,숯불구이명가미래 부산본점,4.19,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200802_152%2F159636909017802LuK_JPEG%2FlngxIq5sHmPVuIDM4couQaNO.jpg,57,14,8.29
170,커피베이 부산진협성휴포레점,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_139%2F1608268216046uA4iD_JPEG%2FxoD3jNpmaiNTzUIWXcOMeVo1.jpg,35,1,8.68
171,홈즈앤쿡 부산수정점,,,33,,
