,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
200,히노아지 롯데백화점 광복점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211102_211%2F1635843925829ugOlg_JPEG%2FGY8adeX1nqzxHmFzEH9so7pd.jpg,23,3,
201,대광곱창1층6호,4.46,,17,29,8.56
202,고집센그집갈비탕 부산남부민점,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170726_258%2F15010591789328eAKd_JPEG%2F186676578278264_0.jpeg,104,3,8.82
203,함경면옥 롯데백화점광복점,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210516_18%2F1621164089855NykDp_JPEG%2Fkt7RhEjqv_YKoKr4JNODpf-W.jpg,471,23,8.63
204,코코로벤또 롯데백화점광복점,4.22,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171116_222%2F15108139681880NqF9_JPEG%2FFLX445RQqNMsYC-HQq-2i4un.jpg,335,74,8.53
205,명동정식식당,,,1,10,
206,우사기,4.25,,430,356,8.72
207,커피빈 부산광복동점,4.5,,505,29,8.95
208,다솥맛집,4.32,,928,89,8.91
209,용문족발,4.61,,55,4,8.71
210,삼한꼼장어,4,,64,77,8.1
211,쑥이횟집,4.4,,51,3,8.5
212,고등어구이정식,4.41,,137,24,8.51
213,오소아 비프점,4.47,,358,35,8.78
214,남해자연산횟집,4.58,,33,5,8.68
215,송학횟집,4.53,,105,14,8.63
216,국제국밥,,,1,1,
217,롯데리아 롯데광복점,4.33,,1512,25,8.99
218,아무때나실내포장마차,3.94,,18,2,8.04
219,금화,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191027_164%2F15721617757404oHGO_JPEG%2FLLEvVMzTPoy58Mgx-x0IRbdK.jpg,88,2,8.57
